Points:0,Points:1,Points:2,vtkOriginalIndices
1.07413,-0.107305,0,797
1.06982,-0.0853552,0,798
1.06603,-0.066101,0,799
1.06271,-0.0492114,0,800
1.05979,-0.034396,0,801
1.05724,-0.0214,0,802
1.05499,-0.00999999,0,803
1.05303,6.31609e-09,0,804
1.68867,-3.5,0,805
1.65218,-3.30754,0,806
1.61568,-3.11509,0,807
1.57919,-2.92263,0,808
1.5427,-2.73017,0,809
1.5062,-2.53771,0,810
1.46971,-2.34526,0,811
1.43321,-2.1528,0,812
1.39672,-1.96034,0,813
1.36023,-1.76788,0,814
1.32373,-1.57543,0,815
1.28724,-1.38297,0,816
1.25337,-1.20436,0,817
1.22366,-1.04768,0,818
1.1976,-0.910249,0,819
1.17474,-0.789692,0,820
1.15469,-0.683941,0,821
1.1371,-0.591176,0,822
1.12167,-0.509804,0,823
1.10813,-0.438424,0,824
1.09626,-0.375811,0,825
1.08585,-0.320887,0,826
1.07671,-0.272707,0,827
1.0687,-0.230445,0,828
1.06167,-0.193373,0,829
1.0555,-0.160853,0,830
1.05009,-0.132328,0,831
1.04535,-0.107305,0,832
1.04119,-0.0853552,0,833
1.03753,-0.066101,0,834
1.03433,-0.0492114,0,835
1.03152,-0.034396,0,836
1.02906,-0.0214,0,837
1.0269,-0.00999999,0,838
1.025,6.37615e-09,0,839
1.63882,-3.5,0,840
1.6037,-3.30754,0,841
1.56857,-3.11509,0,842
1.53344,-2.92263,0,843
1.49831,-2.73017,0,844
1.46319,-2.53771,0,845
1.42806,-2.34526,0,846
1.39293,-2.1528,0,847
1.3578,-1.96034,0,848
1.32268,-1.76788,0,849
1.28755,-1.57543,0,850
1.25242,-1.38297,0,851
1.21982,-1.20436,0,852
1.19122,-1.04768,0,853
1.16614,-0.910249,0,854
1.14414,-0.789692,0,855
1.12483,-0.683941,0,856
1.1079,-0.591176,0,857
1.09305,-0.509804,0,858
1.08002,-0.438424,0,859
1.06859,-0.375811,0,860
1.05857,-0.320887,0,861
1.04977,-0.272707,0,862
1.04206,-0.230445,0,863
1.03529,-0.193373,0,864
1.02936,-0.160853,0,865
1.02415,-0.132328,0,866
1.01959,-0.107305,0,867
1.01558,-0.0853552,0,868
1.01206,-0.066101,0,869
1.00898,-0.0492114,0,870
1.00628,-0.034396,0,871
1.00391,-0.0214,0,872
1.00183,-0.00999999,0,873
1,6.42973e-09,0,874
1.59347,-3.5,0,875
1.55948,-3.30761,0,876
1.52549,-3.11523,0,877
1.4915,-2.92284,0,878
1.45751,-2.73045,0,879
1.42352,-2.53807,0,880
1.38953,-2.34568,0,881
1.35554,-2.1533,0,882
1.32154,-1.96091,0,883
1.28755,-1.76852,0,884
1.25356,-1.57614,0,885
1.21957,-1.38375,0,886
1.18803,-1.20521,0,887
1.16036,-1.04859,0,888
1.13608,-0.911203,0,889
1.11479,-0.790691,0,890
